ingredient_id,canonical_name,contains_gluten,contains_egg,contains_dairy
egg,Egg,false,true,false
egg-replacer,Egg replacer,false,false,false
milk,Milk,false,false,true
oat-milk,Oat milk,false,false,false
butter,Butter,false,false,true
vegan-butter,Vegan butter,false,false,false
wheat-flour,Wheat flour,true,false,false
gf-flour-blend,Gluten-free flour blend,false,false,false
water,Water,false,false,false
salt,Salt,false,false,false
sugar,Sugar,false,false,false
almond-flour,Almond flour,false,false,false
oat-flour,Oat flour (gluten-free),false,false,false
tapioca-starch,Tapioca starch,false,false,false
cornstarch,Cornstarch,false,false,false
white-sugar,Granulated white sugar,false,false,false
baking-powder,Baking powder,false,false,false
coconut-milk,Full-fat coconut milk,false,false,false
lemon,Lemon,false,false,false
vanilla-extract,Vanilla extract,false,false,false
powdered-sugar,Powdered sugar,false,false,false
nondairy-yogurt,Non-dairy yogurt,false,false,false
neutral-oil,Neutral oil,false,false,false
brisket,Beef brisket,false,false,false
ground-beef,Ground beef,false,false,false
baby-potatoes,Baby potatoes,false,false,false
carrot,Carrot,false,false,false
shallot,Shallot,false,false,false
apple-cider,Apple cider,false,false,false
beef-broth,Beef broth,false,false,false
chicken-broth,Chicken broth,false,false,false
thyme,Thyme,false,false,false
bay-leaf,Bay leaf,false,false,false
cayenne-pepper,Cayenne pepper,false,false,false
sweet-potato,Sweet potato,false,false,false
brown-sugar,Brown sugar,false,false,false
molasses,Molasses,false,false,false
cream,Cream,false,false,true
onion,Onion,false,false,false
canadian-bacon,Canadian bacon,false,false,false
vegetable-oil,Vegetable oil,false,false,false
collard-greens,Collard greens,false,false,false
black-pepper,Black pepper,false,false,false
pear-halves,Pear halves,false,false,false
pork-chop,Pork chop,false,false,false
cinnamon,Cinnamon,false,false,false
tomato-sauce,Tomato sauce,false,false,false
celery,Celery,false,false,false
diced-tomatoes,Diced tomatoes,false,false,false
mixed-vegetables,Mixed vegetables,false,false,false
parsley,Parsley,false,false,false
watercress,Watercress,false,false,false
nutmeg,Nutmeg,false,false,false
leek,Leek,false,false,false
potato,Potato,false,false,false
rice,Rice,false,false,false
coconut-oil,Coconut oil,false,false,false
ginger,Ginger,false,false,false
garlic,Garlic,false,false,false
chicken-breast,Chicken breast,false,false,false
coconut-cream,Coconut cream,false,false,false
coconut-aminos,Coconut aminos,false,false,false
lime,Lime,false,false,false
turmeric-powder,Turmeric powder,false,false,false
cilantro,Cilantro,false,false,false
cauliflower-rice,Cauliflower rice,false,false,false
bread-crumbs,Bread crumbs,true,false,false
acorn-squash,Acorn squash,false,false,false
sausage,Sausage,false,false,false
cheese,Cheese,false,false,true
butternut-squash,Butternut squash,false,false,false
baking-soda,Baking soda,false,false,false
chocolate-chips,Chocolate chips,false,false,true
dairy-free-chocolate-chips,Dairy-free chocolate chips,false,false,false
chicken_breast,Chicken breast,false,false,false
salt,Salt,false,false,false
black_pepper,Black pepper,false,false,false
italian_seasoning,Italian seasoning,false,false,false
olive_oil,Olive oil,false,false,false
wheat_flour,Wheat flour,true,false,false
parmesan_cheese,Parmesan cheese,false,false,true
chicken_broth,Chicken broth,false,false,false
beef_bouillon,Beef bouillon,false,false,false
soy_sauce,Soy sauce,true,false,false
worcestershire_sauce,Worcestershire sauce,false,false,false
onion_powder,Onion powder,false,false,false
dried_thyme,Dried thyme,false,false,false
mustard_powder,Mustard powder,false,false,false
butter,Butter,false,false,true
garlic,Garlic,false,false,false
heavy_cream,Heavy cream,false,false,true
