ingredient_id,unit_norm,example_recipe_id,count_occurrences,example_qty,reason
acorn-squash,count,sausage-stuffed-acorn-squash,1,2,missing-portion
active-dry-yeast,tsp,basic-roll-dough,1,2 1/4,missing-portion
almonds,cup,chicken-rice-casserole,1,1/4,missing-portion
basic-roll-dough,recipe,streusel-coffee-cake,1,1,missing-portion
bay-leaf,count,apple-cider-brisket,4,2,missing-portion
beef_bouillon,cube,beef-noodles,3,7,missing-portion
butter,cup,basic-roll-dough,8,1/3,missing-portion
butter,tbsp,creamy-garlic-chicken,4,3,missing-portion
butternut-squash,count,butternut-squash-casserole,1,1,missing-portion
canadian-bacon,cup,collards-canadian-bacon,1,1/2,missing-portion
carrot,count,apple-cider-brisket,1,4,missing-portion
carrot,large,slow-cooker-beef-stew,1,4,missing-portion
celery,cup,creamy-leek-potato-soup,4,1,missing-portion
celery-salt,tsp,lorenes-vegetable-soup,1,1,missing-portion
cheddar-cheese,cup,holiday-potatoes,1,1,missing-portion
cheese,cup,sausage-stuffed-acorn-squash,1,1,missing-portion
chicken-breast,cup,chicken-rice-casserole,1,2,missing-portion
chicken-breast,piece,creamy-garlic-chicken,1,2,missing-portion
chicken-broth,cup,chicken-rice-casserole,3,1,missing-nutrition-density
chili-powder,tbsp,chili-con-carne-turkey,3,3,missing-portion
chopped-nuts,cup,russian-teacakes,2,3/4,missing-portion
coconut-aminos,tbsp,turmeric-chicken-curry,1,2,missing-portion
coconut-milk,cup,turmeric-chicken-curry,1,1/2,missing-portion
coconut-milk,tbsp,lemon-cake,1,10,missing-portion
cream,cup,baked-sweet-potatoes,1,1/2,missing-portion
cream-of-celery-soup,can,mexican-chicken,1,1,missing-portion
cream-of-chicken-soup,can,chicken-roll-ups,2,1,missing-portion
cream-of-tartar,tsp,snickerdoodles,1,2,missing-portion
crescent-rolls,package,chicken-roll-ups,1,1,missing-portion
crushed-tomatoes,can,chili-con-carne-turkey,1,1,missing-portion
diced-tomatoes,can,lorenes-vegetable-soup,2,1,missing-portion
dried_thyme,tsp,creamy-garlic-chicken,1,1/2,missing-portion
egg,count,basic-roll-dough,8,1,missing-portion
egg-noodles,lb,beef-noodles,1,2,missing-nutrition-density
garlic,clove,anti-histamine-turkey-kale-sweet-potato-skillet,5,1,missing-portion
garlic,piece,creamy-garlic-chicken,1,10,missing-portion
ginger,inch,turmeric-chicken-curry,1,1,missing-portion
green-beans,can,lorenes-vegetable-soup,1,2,missing-portion
green-olives,tbsp,bun-steads,1,2,missing-portion
green-onion,bunch,holiday-potatoes,1,1,missing-portion
green-onion,cup,veggie-teriyaki-stir-fry-noodles,1,1/4,missing-portion
green-pepper,count,chili-con-carne-turkey,3,1,missing-portion
green-pepper,cup,chicken-rice-casserole,1,1/2,missing-portion
green-pepper,tbsp,bun-steads,1,2,missing-portion
hamburger-buns,count,barbecued-hamburger,1,6,missing-portion
