token,option,display,ratio,unit,ingredient_id
brisket,,beef brisket (3–4 lb),3 1/2,lb,brisket
kosher_salt,,kosher salt,,,salt
black_pepper,,black pepper,,,black-pepper
neutral_oil,,neutral oil,2,tbsp,neutral-oil
baby_potatoes,,baby potatoes (halved),1 1/2,lb,baby-potatoes
carrots,,carrots (2-inch pieces),4,count,carrot
shallots,,shallots (1/4-inch slices),2,count,shallot
apple_cider,,apple cider,4,cup,apple-cider
broth_choice,beef,low-sodium beef broth,1 1/2,cup,beef-broth
broth_choice,chicken,low-sodium chicken broth,1 1/2,cup,chicken-broth
thyme,,thyme sprigs,6,sprig,thyme
bay_leaves,,bay leaves,2,count,bay-leaf
cayenne,,cayenne pepper,3/4,tsp,cayenne-pepper
