token,option,display,ratio,unit,ingredient_id,prep
olive_oil,,olive oil,1,tbsp,olive_oil,
onion,,onion,1,count,onion,diced
carrots,,carrots,1 1/2,cup,carrot,"about 3 carrots, peeled and diced"
celery,,celery ribs,2,count,celery,diced
garlic,,garlic,3,clove,garlic,minced
ginger,,ginger,1,tbsp,ginger,grated
lemongrass,,lemongrass,1,tbsp,lemongrass,minced
thyme,,fresh thyme leaves,1,tbsp,thyme,chopped
rosemary,,fresh rosemary leaves,1,tbsp,rosemary,chopped
water,,water,5,cup,water,
bay_leaves,,bay leaves,2,count,bay-leaf,
salt,,salt,1,tsp,salt,or to taste
chicken_thighs,,chicken thighs,1,lb,chicken-thighs,
pasta,,pasta,1,cup,macaroni,
parsley,,parsley,16,tbsp,parsley,chopped
lemon_juice,,lemon juice,3,tbsp,lemon,from 1 lemon
black_pepper,,black pepper,1/2,tsp,black-pepper,or to taste
chives,,fresh chives,2,tbsp,chives,chopped
