token,option,display,ratio,unit,ingredient_id
fat,margarine,margarine,1/4,cup,margarine
fat,butter,butter,1/4,cup,butter
flour,,all-purpose flour,1/3,cup,wheat-flour
pepper,,black pepper,1/8,tsp,black-pepper
salt,,salt,1 1/2,tsp,salt
chicken_broth,,chicken broth,1,cup,chicken-broth
milk,,milk,1 1/2,cup,milk
rice,,rice,1 1/2,cup,rice
poultry,chicken,chicken,2,cup,chicken-breast
poultry,turkey,turkey,2,cup,turkey
mushrooms,,mushrooms,1/2,cup,mushrooms
green_pepper,,green pepper,1/2,cup,green-pepper
pimiento,,pimiento,2,tbsp,pimiento
almonds,,slivered almonds,1/4,cup,almonds
parsley,,parsley,1,tbsp,parsley
