token,option,display,ratio,unit,ingredient_id,prep
butternut_squash,,butternut squash,2,cup,butternut-squash,diced
red_bell_pepper,,red bell pepper,2,cup,red-bell-pepper,diced
zucchini,,green squash,1,cup,zucchini,diced
carrot,,carrot,1,cup,carrot,diced
red_onion,,red onion,1,cup,onion,diced
green_onion,,green onion,1,cup,green-onion,chopped
celery_stalks,,celery stalks,2,cup,celery,chopped
celery_leaves,,celery leaves,1,cup,celery,chopped
garlic,,garlic,3,clove,garlic,
water,,water,4,cup,water,
lemon_juice,,lemon juice,2,tbsp,lemon-juice,
salt,,salt,,,salt,to taste
green_onion_garnish,,green onion,,,green-onion,for garnish
