token,display,ingredient_id,ratio,unit,option,section
chicken_breast,boneless skinless chicken breast,chicken_breast,2,piece,,Chicken
salt,salt,salt,1,tsp,,Chicken
black_pepper,black pepper,black_pepper,1/2,tsp,,Chicken
italian_seasoning,Italian seasoning,italian_seasoning,3,tsp,,Chicken
olive_oil,olive oil,olive_oil,3,tbsp,,Chicken
flour_dredge,flour,wheat_flour,1/2,cup,,Chicken
parmesan_dredge,Parmesan cheese,parmesan_cheese,4,tbsp,,Chicken
chicken_broth,chicken broth,chicken_broth,2 1/2,cup,,Sauce
bouillon,beef bouillon cube,beef_bouillon,1,cube,cube,Sauce
bouillon,beef bouillon paste,beef_bouillon,1,tsp,paste,Sauce
soy_sauce,soy sauce,soy_sauce,1,tsp,soy,Sauce
soy_sauce,Worcestershire sauce,worcestershire_sauce,1,tsp,worcestershire,Sauce
onion_powder,onion powder,onion_powder,1,tsp,,Sauce
thyme,dried thyme,dried_thyme,1/2,tsp,,Sauce
mustard_powder,mustard powder,mustard_powder,1/2,tsp,,Sauce
butter,butter,butter,3,tbsp,,Sauce
garlic_cloves,whole garlic cloves,garlic,10,piece,,Sauce
flour_sauce,flour,wheat_flour,3,tbsp,,Sauce
heavy_cream,heavy cream,heavy_cream,1/2,cup,,Sauce
parmesan_finish,Parmesan cheese,parmesan_cheese,1/2,cup,include,Sauce
parmesan_finish,Parmesan cheese,parmesan_cheese,0,cup,omit,Sauce
