section,text
Prep Work,"Combine {{chicken_broth}} with {{bouillon}}, {{soy_sauce}}, {{onion_powder}}, {{mustard_powder}}, and {{thyme}} in a large measuring cup and set aside."
Prep Work,"Combine {{flour_dredge}} and {{parmesan_dredge}} on a plate and measure remaining ingredients before cooking."
Cook the Chicken,"Slice {{chicken_breast}} in half lengthwise to form thinner cutlets. Cover and pound to an even thickness, then pat dry."
Cook the Chicken,"Season both sides of {{chicken_breast}} with {{italian_seasoning}}, {{salt}}, and {{black_pepper}}. Dredge in {{flour_dredge}} mixed with {{parmesan_dredge}}, tapping off excess."
Cook the Chicken,"Heat {{olive_oil}} in a large skillet over medium-high heat. Sear {{chicken_breast}} for 4–5 minutes per side until golden. Remove and set aside."
Make the Sauce,"Reduce heat to medium-low and melt {{butter}} in the same skillet. Add {{garlic_cloves}} and cook until softened and caramelized, about 6–7 minutes."
Make the Sauce,"Sprinkle in {{flour_sauce}} and cook for 1–2 minutes, stirring until the raw flour smell is gone."
Make the Sauce,"Gradually whisk in the reserved {{chicken_broth}} mixture with {{bouillon}}, {{soy_sauce}}, {{onion_powder}}, {{mustard_powder}}, and {{thyme}} until smooth."
Make the Sauce,"Stir in {{heavy_cream}} and bring to a gentle boil, then reduce heat to low."
Make the Sauce,"Gradually stir in {{parmesan_finish}} until melted."
Make the Sauce,"Return {{chicken_breast}} and any accumulated juices to the skillet. Spoon sauce over the top, cover partially, and simmer for 5 minutes."
