token,option,display,ratio,unit,ingredient_id
potatoes,,potatoes (peeled and quartered cooked),3,lb,potato
butter,,butter,1/2,cup,butter
cream_cheese,,cream cheese,6,oz,cream-cheese
cheddar_cheese,,shredded cheddar cheese (divided),1,cup,cheddar-cheese
pimiento,,diced pimiento (drained),2,oz,pimiento
green_pepper,,green pepper (chopped),1,count,green-pepper
parmesan,,grated Parmesan cheese,1/2,cup,parmesan_cheese
milk,,milk,1/4,cup,milk
salt,,salt,1,tsp,salt
green_onions,,green onions (chopped),1,bunch,green-onion
