token,option,display,ratio,unit,ingredient_id,section
rice_paper_wrappers,,rice paper wrappers,15,count,rice-paper-wrappers,Spring Rolls
thai_basil,,Thai basil,1,cup,thai-basil,Spring Rolls
cilantro,,cilantro,1,cup,cilantro,Spring Rolls
purple_cabbage,,purple cabbage,2,cup,purple-cabbage,Spring Rolls
carrots,,carrots,2,cup,carrot,Spring Rolls
ground_chicken,,ground chicken,1,lb,ground-chicken,Ginger Chicken
sesame_oil_chicken,,sesame oil,1,tbsp,toasted-sesame-oil,Ginger Chicken
shallots,,shallots,1/4,cup,shallot,Ginger Chicken
ginger,,ginger,1/4,cup,ginger,Ginger Chicken
coconut_aminos_chicken,,coconut aminos,1/3,cup,coconut-aminos,Ginger Chicken
sriracha_chicken,,sriracha,1/2,tbsp,sriracha,Ginger Chicken
sea_salt,,sea salt,1/4,tsp,salt,Ginger Chicken
almond_butter,,almond butter,1/4,cup,almond-butter,No Peanut Sauce
coconut_milk,,coconut milk,1/4,cup,coconut-milk,No Peanut Sauce
coconut_aminos_sauce,,coconut aminos,3,tbsp,coconut-aminos,No Peanut Sauce
rice_wine_vinegar,,rice wine vinegar,1,tbsp,rice-wine-vinegar,No Peanut Sauce
lime_juice,,fresh lime juice,1/2,tbsp,lime-juice,No Peanut Sauce
sriracha_sauce,,sriracha,1,tsp,sriracha,No Peanut Sauce
sesame_oil_sauce,,sesame oil,1,tsp,toasted-sesame-oil,No Peanut Sauce
